Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,112448.56545476245810277760,2539.43701976282773102866,0.02258309841030770385,7,9433.T 4519.T 9022.T UNH JNJ MRK WBA 
2,113696.40145675870007835329,4079.50012121214194849017,0.03588064414478120412,8,9432.T 9433.T 4519.T 9022.T UNH JNJ MRK WBA 
3,114841.61530746976495720446,5445.56869565217584749917,0.04741807820338080764,6,9433.T 4519.T 9022.T UNH JNJ MRK 
4,115790.57352349039865657687,6783.37313570485548552824,0.05858312062275703586,7,9432.T 9433.T 4519.T 9022.T UNH JNJ MRK 
5,121478.99172008218010887504,8845.12799209486365725752,0.07281199709391925068,9,9432.T 9433.T 6367.T 4519.T 9022.T MSFT UNH JNJ WBA 
6,122824.52025239080830942839,9877.88952832674658566248,0.08042278128201743592,8,9432.T 9433.T 4519.T 9022.T MSFT UNH JNJ WBA 
7,122846.78760734513343777508,12633.64731225297509809025,0.10284068113066065220,3,9433.T JNJ WBA 
8,122898.17363320190634112805,15332.18371541502710897475,0.12475517952915222974,4,9433.T 9022.T MSFT JNJ 
9,130666.51220120524521917105,16128.29462450593928224407,0.12343097211985715189,4,9432.T 9433.T MSFT JNJ 
10,131175.32294145203195512295,16818.15309090907248901203,0.12821125737510538634,4,9432.T 9433.T JNJ MCD 
11,131310.88991572125814855099,22536.30163372859897208400,0.17162553424314602735,3,9432.T 9433.T JNJ 
12,131842.86670062079792842269,26425.38750988142783171497,0.20043092334973477975,2,9433.T JNJ 
13,151218.12507585843559354544,26882.86996047430875478312,0.17777544819437843260,3,9433.T 9983.T JNJ 
14,173472.52396705609862692654,29249.16724637681909371167,0.16860979812533011257,3,9432.T 9433.T 9983.T 
15,173816.63387659596628509462,29974.71588932807571836747,0.17245021503873517177,2,9432.T 9433.T 
16,188036.25601119289058260620,30674.77802371542202308774,0.16313225265392169994,3,9433.T 9022.T WMT 
17,191103.88745899646892212331,30725.29014492753412923776,0.16077794415103144332,4,9432.T 9433.T 9983.T WMT 
18,195224.68634364826721139252,36432.77127799736626911908,0.18661969426277286166,2,9433.T 9983.T 
19,222942.75007331810775212944,45180.44110671936505241320,0.20265490172638980781,1,9433.T 
20,301102.29108784568961709738,48152.46065876153443241492,0.15992060533579002812,4,9433.T 9983.T 4519.T WMT 
21,329357.53713376878295093775,48157.95617918315110728145,0.14621786584353696492,3,9432.T 9433.T 4519.T 
22,335932.17341385368490591645,52504.52450592885725200176,0.15629501625986144675,3,9433.T 9983.T 4519.T 
23,355038.50331435835687443614,54990.50173913044272921979,0.15488602285606395403,3,9433.T 4519.T WMT 
24,441730.59040415653726086020,64829.05691699605085887015,0.14676152914309470443,2,9433.T 4519.T 
25,839741.87830458302050828934,84535.06245059288630727679,0.10066791312262164670,1,4519.T 

fitness_time:,81734
execution time:,0.53415199999999996017 s
Exp_times:,1
gen:,7000
theta:,0.00029999999999999997
market:,NIKKEI30&DJIA30
